QB_diff,OL_adv_1,OL_adv_2,WR_adv_1,WR_adv_2,RB_adv_1,RB_adv_2,TE_diff,PK_diff,P_diff,QB1_vs_DB_2,QB2_vs_DB_1,PASS_SYNERGY_diff,team_1_is_home,season,team_1,team_2,target
-3.0,-3.0,0.44999999999999996,-3.0,3.0,-3.0,3.0,-3.0,0.0,0.0,-3.0,3.0,-3.0000000000000004,0,2021,Houston Christian,New Mexico,0
3.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,3.0,0.0,3.0,-3.0,3.0000000000000004,1,2021,Florida International,Long Island University,1
-3.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,-3.0,0.0,-3.0,3.0,-3.0000000000000004,0,2021,Long Island University,Florida International,0
4.0,1.5,-3.25,0.75,0.0,2.666666666666667,0.0,1.0,0.0,2.0,1.75,-3.0,2.3157894736842106,1,2021,UNLV,Eastern Washington,0
-4.0,-3.25,1.5,0.0,0.75,0.0,2.666666666666667,-1.0,0.0,-2.0,-3.0,1.75,-2.3157894736842106,0,2021,Eastern Washington,UNLV,1
4.0,1.65,-3.25,3.25,-1.75,4.0,-4.0,4.0,0.0,3.0,3.25,-3.25,3.6052631578947367,1,2021,Arizona State,Southern Utah,1
-4.0,-3.25,1.65,-1.75,3.25,-4.0,4.0,-4.0,0.0,-3.0,-3.25,3.25,-3.6052631578947367,0,2021,Southern Utah,Arizona State,0
0.0,-1.25,1.1,-0.25,0.0,-1.0,0.0,0.0,0.0,-3.0,-0.25,0.0,0.0,1,2021,Virginia Tech,North Carolina,1
0.0,1.1,-1.25,0.0,-0.25,0.0,-1.0,0.0,0.0,3.0,0.0,-0.25,0.0,0,2021,North Carolina,Virginia Tech,0
0.0,0.20000000000000018,-0.6499999999999999,0.75,0.5,0.0,0.3333333333333335,-1.0,3.0,1.0,0.25,0.0,-0.21052631578947345,1,2021,Wake Forest,Old Dominion,1
0.0,-0.6499999999999999,0.20000000000000018,0.5,0.75,0.3333333333333335,0.0,1.0,-3.0,-1.0,0.0,0.25,0.21052631578947345,0,2021,Old Dominion,Wake Forest,0
3.0,3.2,-3.0,3.0,-3.0,3.0,-2.3333333333333335,3.0,2.0,3.0,3.0,-3.0,3.0000000000000004,1,2021,Eastern Michigan,St. Francis (PA),1
-3.0,-3.0,3.2,-3.0,3.0,-2.3333333333333335,3.0,-3.0,-2.0,-3.0,-3.0,3.0,-3.0000000000000004,0,2021,St. Francis (PA),Eastern Michigan,0
1.0,-0.3999999999999999,-0.3500000000000001,-0.25,0.0,1.0,0.6666666666666665,0.0,2.0,-3.0,0.75,0.0,0.5263157894736841,1,2021,Charlotte,Duke,1
-1.0,-0.3500000000000001,-0.3999999999999999,0.0,-0.25,0.6666666666666665,1.0,0.0,-2.0,3.0,0.0,0.75,-0.5263157894736841,0,2021,Duke,Charlotte,0
1.0,3.0,-3.25,3.0,-3.0,4.0,-3.0,3.0,2.0,2.0,3.0,-1.0,1.947368421052632,1,2021,Kansas,South Dakota,1
-1.0,-3.25,3.0,-3.0,3.0,-3.0,4.0,-3.0,-2.0,-2.0,-1.0,3.0,-1.947368421052632,0,2021,South Dakota,Kansas,0
3.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,3.0,3.0,-3.0,3.0000000000000004,1,2021,Colorado State,South Dakota State,0
-3.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,0.0,-3.0,-3.0,3.0,-3.0000000000000004,0,2021,South Dakota State,Colorado State,1
-1.0,3.4,-3.0,3.5,-2.25,4.0,-3.6666666666666665,3.0,3.0,3.0,3.0,0.25,0.6315789473684212,1,2021,Colorado,Northern Colorado,1
1.0,-3.0,3.4,-2.25,3.5,-3.6666666666666665,4.0,-3.0,-3.0,-3.0,0.25,3.0,-0.6315789473684212,0,2021,Northern Colorado,Colorado,0
4.0,-0.10000000000000009,0.6499999999999999,-0.25,0.5,-1.0,-0.3333333333333335,-1.0,0.0,3.0,0.25,-3.0,1.894736842105263,1,2021,Northwestern,Michigan State,0
-4.0,0.6499999999999999,-0.10000000000000009,0.5,-0.25,-0.3333333333333335,-1.0,1.0,0.0,-3.0,-3.0,0.25,-1.894736842105263,0,2021,Michigan State,Northwestern,1
2.0,0.9500000000000002,-1.0,2.0,-0.5,1.0,-1.333333333333333,1.0,0.0,-3.0,2.0,-1.0,1.6578947368421053,1,2021,Oklahoma,Tulane,1
-2.0,-1.0,0.9500000000000002,-0.5,2.0,-1.333333333333333,1.0,-1.0,0.0,3.0,-1.0,2.0,-1.6578947368421053,0,2021,Tulane,Oklahoma,0
0.0,0.0,-0.6000000000000001,1.75,-2.0,1.0,0.0,1.0,2.0,0.0,1.75,0.0,0.7368421052631584,1,2021,Georgia State,Army,0
0.0,-0.6000000000000001,0.0,-2.0,1.75,0.0,1.0,-1.0,-2.0,0.0,0.0,1.75,-0.7368421052631584,0,2021,Army,Georgia State,1
0.0,-1.6,0.7999999999999998,-0.5,0.75,-0.6666666666666665,2.333333333333333,-1.0,-3.0,-3.0,0.5,0.75,-0.4736842105263155,1,2021,Kansas State,Stanford,1
0.0,0.7999999999999998,-1.6,0.75,-0.5,2.333333333333333,-0.6666666666666665,1.0,3.0,3.0,0.75,0.5,0.4736842105263155,0,2021,Stanford,Kansas State,0
0.0,0.20000000000000018,0.75,0.0,0.75,0.0,1.0,-1.0,0.0,2.0,0.0,0.75,-0.21052631578947345,1,2021,Wisconsin,Penn State,0
0.0,0.75,0.20000000000000018,0.75,0.0,1.0,0.0,1.0,0.0,-2.0,0.75,0.0,0.21052631578947345,0,2021,Penn State,Wisconsin,1
0.0,2.35,-1.4,1.0,0.75,0.0,-1.0,1.0,3.0,3.0,0.0,0.75,0.4736842105263155,1,2021,Kentucky,UL Monroe,1
0.0,-1.4,2.35,0.75,1.0,-1.0,0.0,-1.0,-3.0,-3.0,0.75,0.0,-0.4736842105263155,0,2021,UL Monroe,Kentucky,0
1.0,0.0,0.0,0.25,0.0,-0.3333333333333335,-1.0,0.0,0.0,3.0,0.75,-0.5,0.5263157894736841,1,2021,Rutgers,Temple,1
-1.0,0.0,0.0,0.0,0.25,-1.0,-0.3333333333333335,0.0,0.0,-3.0,-0.5,0.75,-0.5263157894736841,0,2021,Temple,Rutgers,0
2.0,1.0,-1.25,1.0,-1.25,1.0,-1.0,1.0,-3.0,-1.0,2.0,-1.25,1.5263157894736836,1,2021,Michigan,Western Michigan,1
-2.0,-1.25,1.0,-1.25,1.0,-1.0,1.0,-1.0,3.0,1.0,-1.25,2.0,-1.5263157894736836,0,2021,Western Michigan,Michigan,0
4.0,3.3,-3.4,4.0,-1.25,4.0,-3.3333333333333335,4.0,0.0,0.0,4.0,-3.25,3.473684210526316,1,2021,Nebraska,Fordham,1
-4.0,-3.4,3.3,-1.25,4.0,-3.3333333333333335,4.0,-4.0,0.0,0.0,-3.25,4.0,-3.473684210526316,0,2021,Fordham,Nebraska,0
4.0,3.8,-3.0,3.0,-3.25,3.0,-3.3333333333333335,3.0,3.0,0.0,3.5,-3.25,3.6578947368421053,1,2021,Boston College,Colgate,1
-4.0,-3.0,3.8,-3.25,3.0,-3.3333333333333335,3.0,-3.0,-3.0,0.0,-3.25,3.5,-3.6578947368421053,0,2021,Colgate,Boston College,0
1.0,3.0,-3.0,2.0,-3.25,2.3333333333333335,-3.0,3.0,3.0,0.0,3.0,-0.25,1.9473684210526319,1,2021,UConn,Holy Cross,0
-1.0,-3.0,3.0,-3.25,2.0,-3.0,2.3333333333333335,-3.0,-3.0,0.0,-0.25,3.0,-1.9473684210526319,0,2021,Holy Cross,UConn,1
0.0,1.0,-2.0,0.0,-1.75,2.0,-1.6666666666666667,3.0,0.0,2.0,2.0,0.25,0.6315789473684212,1,2021,Air Force,Lafayette,1
0.0,-2.0,1.0,-1.75,0.0,-1.6666666666666667,2.0,-3.0,0.0,-2.0,0.25,2.0,-0.6315789473684212,0,2021,Lafayette,Air Force,0
1.0,0.3999999999999999,-0.25,1.0,-0.25,1.0,0.0,1.0,3.0,-2.0,1.0,-0.75,0.8684210526315788,1,2021,Arkansas,Rice,1
