year,team,conference,group,avg_stars,num_commits,avg_rating,gini,rank,points,period
2009,Marshall,Conference USA,G5 / Ind.,2.35,20,0.78205,0.027152355640274215,91.0,128.95,pre_nil
2009,Maryland,ACC,Power 4,3.1176470588235294,17,0.8537470588235294,0.032923861815145186,31.0,211.59,pre_nil
2009,Memphis,Conference USA,G5 / Ind.,2.5,10,0.79577,0.02542317471853458,88.0,130.01,pre_nil
2009,Miami,ACC,Power 4,3.5454545454545454,11,0.9082363636363637,0.03557343864101474,16.0,242.24,pre_nil
2009,Miami (OH),Mid-American,G5 / Ind.,2.4347826086956523,23,0.7860434782608696,0.033002017294673676,89.0,129.69,pre_nil
2009,Michigan,Big Ten,Power 4,3.75,16,0.91553125,0.02649801998568567,10.0,262.72,pre_nil
2009,Michigan State,Big Ten,Power 4,3.2777777777777777,18,0.8660444444444445,0.035395782318493815,22.0,229.62,pre_nil
2009,Middle Tennessee,Sun Belt,G5 / Ind.,2.5652173913043477,23,0.7998260869565218,0.022147063829665296,82.0,135.97,pre_nil
2009,Minnesota,Big Ten,Power 4,3.1818181818181817,11,0.8546909090909091,0.027910142627838225,35.0,209.2,pre_nil
2009,Mississippi State,SEC,Power 4,3.4615384615384617,13,0.8798230769230769,0.028624635746592176,18.0,233.49,pre_nil
2009,Missouri,Big 12,Power 4,3.125,16,0.84935,0.026814622631251873,38.0,206.45,pre_nil
2009,NC State,ACC,Power 4,3.0555555555555554,18,0.846438888888889,0.014943142153233913,48.0,192.15,pre_nil
2009,Navy,FBS Independents,G5 / Ind.,2.3333333333333335,3,0.7658999999999999,0.01871436629610872,115.0,19.31,pre_nil
2009,Nebraska,Big 12,Power 4,3.4444444444444446,9,0.8751333333333333,0.0180318199892535,40.0,201.57,pre_nil
2009,Nevada,Western Athletic,G5 / Ind.,2.4,15,0.7958200000000001,0.025864028112476213,99.0,120.06,pre_nil
2009,New Mexico,Mountain West,G5 / Ind.,2.1875,16,0.76116875,0.030390661165600158,106.0,95.54,pre_nil
2009,New Mexico State,Western Athletic,G5 / Ind.,2.375,8,0.783625,0.031320784414473994,107.0,91.92,pre_nil
2009,North Carolina,ACC,Power 4,3.6,20,0.888075,0.036310840454794435,12.0,258.85,pre_nil
2009,North Texas,Sun Belt,G5 / Ind.,2.3076923076923075,13,0.789323076923077,0.016339369307431954,100.0,116.92,pre_nil
