year,team,conference,predicted_rating,conference_rank
2025,Kansas State,Big 12,5.07,9
2025,UCF,Big 12,5.06,10
2025,Baylor,Big 12,4.88,11
2025,Kansas,Big 12,4.24,12
2025,Cincinnati,Big 12,3.03,13
2025,Colorado,Big 12,0.0,14
2025,West Virginia,Big 12,-0.37,15
2025,Oklahoma State,Big 12,-5.88,16
2025,Ohio State,Big Ten,25.38,1
2025,Oregon,Big Ten,24.57,2
2025,Penn State,Big Ten,19.4,3
2025,USC,Big Ten,17.43,4
2025,Iowa,Big Ten,14.49,5
2025,Michigan,Big Ten,14.45,6
2025,Indiana,Big Ten,13.14,7
2025,Nebraska,Big Ten,13.09,8
2025,Washington,Big Ten,13.06,9
2025,Illinois,Big Ten,6.17,10
2025,Northwestern,Big Ten,5.19,11
2025,Minnesota,Big Ten,3.95,12
2025,Wisconsin,Big Ten,3.34,13
2025,Maryland,Big Ten,3.31,14
2025,Rutgers,Big Ten,2.99,15
2025,Michigan State,Big Ten,0.93,16
2025,Purdue,Big Ten,-2.61,17
2025,UCLA,Big Ten,-2.67,18
2025,Western Kentucky,Conference USA,1.87,1
2025,Kennesaw State,Conference USA,-3.6,2
2025,Louisiana Tech,Conference USA,-3.61,3
2025,Jacksonville State,Conference USA,-4.34,4
2025,Liberty,Conference USA,-5.57,5
2025,Florida International,Conference USA,-7.67,6
2025,Missouri State,Conference USA,-8.53,7
2025,Delaware,Conference USA,-8.65,8
2025,Middle Tennessee,Conference USA,-10.57,9
2025,New Mexico State,Conference USA,-11.64,10
2025,Sam Houston,Conference USA,-17.8,11
2025,Notre Dame,FBS Independents,22.9,1
2025,UConn,FBS Independents,3.66,2
2025,Toledo,Mid-American,5.81,1
2025,Miami (OH),Mid-American,1.2,2
2025,Western Michigan,Mid-American,-1.81,3
2025,Ohio,Mid-American,-3.77,4
2025,Buffalo,Mid-American,-5.92,5
2025,Eastern Michigan,Mid-American,-7.35,6
2025,Bowling Green,Mid-American,-8.48,7
2025,Central Michigan,Mid-American,-9.01,8
2025,Akron,Mid-American,-9.85,9
2025,Kent State,Mid-American,-12.07,10
2025,Ball State,Mid-American,-17.31,11
2025,Massachusetts,Mid-American,-18.53,12
2025,UNLV,Mountain West,6.33,1
2025,Air Force,Mountain West,1.65,2
2025,Hawai'i,Mountain West,-2.91,3
2025,New Mexico,Mountain West,-3.12,4
2025,Wyoming,Mountain West,-8.6,5
2025,Nevada,Mountain West,-9.87,6
2025,San José State,Mountain West,-9.91,7
2025,Northern Illinois,Mountain West,-11.1,8
2025,UTEP,Mountain West,-11.88,9
2025,Boise State,Pac-12,4.5,1
2025,San Diego State,Pac-12,4.46,2
2025,Washington State,Pac-12,3.91,3
2025,Fresno State,Pac-12,2.27,4
2025,Texas State,Pac-12,0.92,5
2025,Utah State,Pac-12,-2.03,6
2025,Oregon State,Pac-12,-5.72,7
2025,Colorado State,Pac-12,-7.32,8
2025,Georgia,SEC,25.42,1
2025,Texas A&M,SEC,21.36,2
2025,Texas,SEC,20.25,3
2025,Alabama,SEC,19.07,4
2025,Ole Miss,SEC,18.88,5
2025,Oklahoma,SEC,16.42,6
2025,Missouri,SEC,15.39,7
2025,Tennessee,SEC,15.02,8
2025,LSU,SEC,14.31,9
2025,Vanderbilt,SEC,14.21,10
2025,Auburn,SEC,14.03,11
2025,Florida,SEC,9.26,12
2025,South Carolina,SEC,8.89,13
2025,Arkansas,SEC,6.0,14
2025,Mississippi State,SEC,5.75,15
2025,Kentucky,SEC,3.55,16
2025,James Madison,Sun Belt,5.98,1
2025,Old Dominion,Sun Belt,2.94,2
2025,Troy,Sun Belt,0.41,3
2025,Marshall,Sun Belt,-0.94,4
2025,Southern Miss,Sun Belt,-3.05,5
2025,Georgia Southern,Sun Belt,-4.92,6
2025,Louisiana,Sun Belt,-5.97,7
2025,Arkansas State,Sun Belt,-6.14,8
2025,App State,Sun Belt,-6.52,9
2025,Coastal Carolina,Sun Belt,-7.07,10
2025,South Alabama,Sun Belt,-7.63,11
2025,Georgia State,Sun Belt,-13.32,12
2025,UL Monroe,Sun Belt,-16.76,13
2025,nationalAverages,,0.88,
