team,conference,mascot,latitude,longitude,venue_name
Buena Vista,American Rivers,Beavers,42.6452817,-95.1992726,J. Leslie Rollins Stadium
Buffalo,Mid-American,Bulls,42.9991334,-78.7775113,UB Stadium
Buffalo State,Liberty League,Bengals,42.8867166,-78.8783922,Coyer Field
Butler,Pioneer,Bulldogs,39.8444694,-86.1659242,Butler Bowl
BYU,Big 12,Cougars,40.2575347,-111.6545247,LaVell Edwards Stadium
California,ACC,Golden Bears,37.8710434,-122.2507729,California Memorial Stadium
California Lutheran University,So. Cal.,Kingsmen,34.1705609,-118.8375937,William Rolland Stadium
Cal Poly,Big Sky,Mustangs,35.2984123,-120.6650005,Alex G. Spanos Stadium
Campbell,CAA,Fighting Camels,35.4047689,-78.7424842,Barker-Lane Stadium
Capital,Ohio,Comets,39.9692378,-82.936864,Bernlohr Stadium
Carleton,Minnesota,Knights,44.4582041,-93.161159,Laird Stadium
Carnegie Mellon,Presidents',Tartans,40.4416941,-79.9900861,Gesling Stadium
Carroll University (WI),CCIW,Pioneers,43.0053145,-88.24736430153254,Schneider Stadium
Carson-Newman College,South Atlantic,Eagles,36.122311,-83.4923961,Burke-Tarr Stadium
Carthage,CCIW,Firebirds,42.5846773,-87.8212263,Art Keller Field
Case Western Reserve,Presidents',Spartans,41.513447,-81.603634,Case Field
Castleton,New Jersey,Spartans,43.6111275,-73.1807089,Dave Wolk Stadium
Catawba,South Atlantic,Indians,35.6709727,-80.4742261,Shuford Stadium
Catholic,Landmark Conference,Cardinals,38.8950368,-77.0365427,Cardinal Stadium (DC)
Central Arkansas,UAC,Bears,35.0802599,-92.460045,Estes Stadium
Central College,American Rivers,Dutch,41.4073138,-92.9174074,Ron and Joyce Schipper Stadium
Central Connecticut,NEC,Blue Devils,41.6950591,-72.7616197,Arute Field
Central Michigan,Mid-American,Chippewas,43.5777313,-84.7709904,Kelly/Shorts Stadium
Central Missouri,Mid America,Mules,38.7624373,-93.7409596,Audrey J. Walton Stadium at Vernon Kennedy Field
Central Oklahoma,Mid America,Bronchos,35.6571367,-97.4649038,Wantland Stadium
