team,conference,mascot,latitude,longitude,venue_name
Miami,ACC,Hurricanes,25.9579665,-80.2388604,Hard Rock Stadium
Miami (OH),Mid-American,RedHawks,39.5197009,-84.7330255,Yager Stadium
Michigan,Big Ten,Wolverines,42.2658365,-83.7486956,Michigan Stadium
Michigan State,Big Ten,Spartans,42.7281474,-84.4848526,Spartan Stadium
Michigan Tech,GLIAC,Huskies,46.8591287,-88.7774734,Sherman Field
Middlebury,NESCAC,Panthers,44.007273600000005,-73.16330105415423,Alumni Stadium (VT)
Middle Tennessee,Conference USA,Blue Raiders,35.8511463,-86.3681649,"Johnny ""Red"" Floyd Stadium"
Midwestern State,Lone Star,Mustangs,33.9137085,-98.4933873,"Memorial Stadium (Wichita Falls, TX)"
Miles College,SIAC,Golden Bears,33.4859402,-86.9119366,Albert J. H. Sloan - Alumni Stadium
Millersville,Pennsylvania State Athletic,Marauders,39.997998,-76.3545372,Chryst Field at Biemesderfer Stadium
Millikin,CCIW,Big Blue,39.8454163,-88.9524151,Frank M. Lindsay Field
Millsaps,Southern Athletic,Majors,32.2990021,-90.1847691,Harper Davis Field
Minnesota,Big Ten,Golden Gophers,44.976525,-93.2245462,Huntington Bank Stadium
Minnesota Duluth,Northern Sun,Bulldogs,46.7729322,-92.1251218,James S. Malosky Stadium
Minnesota Morris,Upper Midwest,Cougars,45.586072,-95.913941,Big Cat Stadium
Minnesota State Mankato,Northern Sun,Mavericks,44.1634663,-93.9993505,Blakeslee Stadium
Minnesota State Moorhead,Northern Sun,Dragons,46.8739081,-96.7538674,Scheels Field at Nemzek Stadium
Minot State,Northern Sun,Beavers,48.23251,-101.296273,Herb Parker Stadium
Misericordia,Mid Atlantic,Cougars,32.3117968,-87.1046643,Mangelsdorf Field
Mississippi College,Gulf South,Choctaws,32.3410552,-90.3215983,Robinson-Hale Stadium
Mississippi State,SEC,Bulldogs,33.4563403,-88.7933652,Davis Wade Stadium
Mississippi Valley State,SWAC,Delta Devils,33.5118304,-90.3397718,Rice-Totten Field
Missouri,SEC,Tigers,38.9358491,-92.3332009,Memorial Stadium
Missouri Southern State,Mid America,Lions,37.08418,-94.51323,Fred G. Hughes Stadium
Missouri S&T,Great Lakes,Miners,37.95037,-91.780444,Allgood-Bailey Stadium
Missouri State,Conference USA,Bears,37.1976229,-93.2798119,Plaster Sports Complex
Missouri Western,Mid America,Griffons,39.7686055,-94.8466322,Craig Field at Spratt Memorial Stadium
Monmouth,CAA,Hawks,40.278953,-74.009451,Kessler Stadium
Monmouth (IL),Midwest,Fighting Scots,40.9127103,-90.6472477,April Zorn Memorial Stadium
Montana,Big Sky,Grizzlies,46.8638753,-113.9815042,Washington-Grizzly Stadium
Montana State,Big Sky,Bobcats,45.659048,-111.049547,Bobcat Stadium
Montclair State,New Jersey,Red Hawks,40.8164458,-74.2210643,Sprague Field
Moravian,Landmark Conference,Greyhounds,40.6178915,-75.3786521,Rocco Calvo Field
Morehead State,Pioneer,Eagles,38.1916481,-83.4253315,Jayne Stadium
Morehouse College,SIAC,Maroon Tigers,33.7489924,-84.3902644,B.T. Harvey Stadium
Morgan State,MEAC,Bears,39.3439778,-76.5829573,Hughes Stadium
Mount St. Joseph,Heartland,Lions,39.1014537,-84.5124602,Schueler Field
Muhlenberg,Centennial,Mules,40.6022059,-75.4712794,Scotty Wood Stadium
Murray State,MVFC,Racers,36.6215165,-88.3175531,Roy Stewart Stadium
Muskingum University,Ohio,Fighting Muskies,39.9934992,-81.7338559,Sherman Field at McConagha Stadium
Navy,American Athletic,Midshipmen,38.9846985,-76.5076335,Navy-Marine Corps Memorial Stadium
NC State,ACC,Wolfpack,35.8008001,-78.7195655,Carter-Finley Stadium
Nebraska,Big Ten,Cornhuskers,40.820682,-96.705594,"Memorial Stadium (Lincoln, NE)"
Nebraska-Kearney,Mid America,Lopers,40.4906216,-98.9472344,Ron & Carol Cope Stadium at Foster Field
Nevada,Mountain West,Wolf Pack,39.5469459,-119.8175435,Mackay Stadium
NEWBERG,Northwest,Bruins,45.300347,-122.972751,Stoffer Family Stadium
Newberry,South Atlantic,Wolves,34.286133,-81.622539,Setzler Field
New Hampshire,CAA,Wildcats,43.1386231,-70.9393077,Wildcat Stadium
New Haven,NEC,Chargers,41.2706527,-72.9470471,Ralph F. DellaCamera Stadium
New Mexico,Mountain West,Lobos,35.0669479,-106.6283225,University Stadium (NM)
New Mexico Highlands,Rocky Mountain,Cowboys,35.5939325,-105.2238969,Sanchez Family Stadium
New Mexico State,Conference USA,Aggies,32.2796202,-106.7411148,Aggie Memorial Stadium
Nicholls,Southland,Colonels,29.7867254,-90.80455,Manning Field at John L. Guidry Stadium
Nichols College,Commonwealth Coast,Bison,42.0572744,-71.9396898,Vendetti Field
Norfolk State,MEAC,Spartans,36.8469442,-76.2600839,"William Dick"""" Price Stadium"""""
North Alabama,UAC,Lions,34.810914,-87.670587,Braly Municipal Stadium
North Carolina,ACC,Tar Heels,35.9069294,-79.0478889,Kenan Stadium
North Carolina A&T,CAA,Aggies,36.0814337,-79.7700391,Aggie Stadium
North Carolina Central,MEAC,Eagles,35.9738646,-78.896969,O'Kelly-Riddick Stadium
North Carolina Wesleyan,USA South,Battling Bishops,35.9423833,-77.7956949,Bishop Stadium
North Central College,CCIW,Cardinals,41.7728699,-88.1479278,Benedetti-Wehrli Stadium
North Dakota,MVFC,Fighting Hawks,47.910622,-97.090996,Alerus Center
North Dakota State,Mountain West,Bison,46.9029938,-96.8003251,Fargodome
Northeastern State,Independent DII,RiverHawks,35.91537,-94.969956,Gable Field at Doc Wadley Stadium
Northern Arizona,Big Sky,Lumberjacks,35.1805483,-111.6528377,Walkup Skydome
Northern Colorado,Big Sky,Bears,40.403493,-104.705139,Nottingham Field
Northern Illinois,Mountain West,Huskies,41.9339586,-88.7778357,Huskie Stadium
Northern Iowa,MVFC,Panthers,42.5156111,-92.4672307,UNI-Dome
Northern Michigan,GLIAC,Wildcats,46.560589,-87.393741,Superior Dome
Northern State,Northern Sun,Wolves,45.4649805,-98.487813,Swisher Field
North Greenville,Carolinas,Crusaders,35.0684492,-82.3684509,Younts Stadium
North Park,CCIW,Vikings,41.8755616,-87.6244212,Holmgren Athletic Complex
North Texas,American Athletic,Mean Green,33.203899,-97.159245,DATCU Stadium
Northwestern (MN),Upper Midwest,Eagles,45.0060767,-93.1566107,Reynolds Field
Northwestern Oklahoma State,Great American,Rangers,36.8030501,-98.6660278,Ranger Field
Northwestern State,Southland,Demons,31.747259,-93.0961357,Harry Turpin Stadium
Northwest Missouri St,Mid America,Bearcats,40.3460468,-94.8723858,Bearcat Stadium
Northwood (MI),Great Midwest Athletic,Timberwolves,43.6155825,-84.2472117,Hantz Stadium
Norwich,NEWMAC,Cadets,44.153195,-72.65679528850326,Sabine Field at Haynes Family Stadium
Notre Dame,FBS Independents,Fighting Irish,41.698378,-86.2339425,Notre Dame Stadium
Notre Dame College,Mountain East,Blue Falcons,41.5231076,-81.5184553,Mueller Field
Oberlin,North Coast,Yeomen,41.2939386,-82.2173786,Austin E. Knowlton Athletics Complex
Ohio,Mid-American,Bobcats,39.3212794,-82.1034315,Peden Stadium
Ohio Dominican,Great Midwest Athletic,Panthers,39.9622601,-83.0007065,Panther Stadium (OH)
Ohio Northern,Ohio,Polar Bears,38.8398935,-83.5051704,Dial-Roberson Stadium
Ohio State,Big Ten,Buckeyes,40.0016447,-83.0197266,Ohio Stadium
Ohio Wesleyan,North Coast,Battling Bishops,40.2986724,-83.067965,Selby Stadium
Oklahoma,SEC,Sooners,35.2058537,-97.4423145,"Memorial Stadium (Norman, OK)"
Oklahoma Baptist,Great American,Bison,35.3272928,-96.9253004,Crain Family Stadium
Oklahoma State,Big 12,Cowboys,36.125673,-97.066513,Boone Pickens Stadium
Old Dominion,Sun Belt,Monarchs,36.8889533,-76.3049175,S.B. Ballard Stadium
Ole Miss,SEC,Rebels,34.3619837,-89.5342076,Vaught-Hemingway Stadium
Olivet College,Michigan,Comets,42.4414273,-84.9241542,Cutler Field
Oregon,Big Ten,Ducks,44.0582712,-123.0684883,Autzen Stadium
Oregon State,Pac-12,Beavers,44.5594559,-123.2814341,Reser Stadium
Otterbein,Ohio,Cardinals,40.126139,-82.9295287,"Memorial Stadium (Westerville, OH)"
Ouachita Baptist,Great American,Tigers,34.1209292,-93.053784,Cliff Harris Stadium
Pace,Northeast 10,Setters,41.1328736,-73.7926335,Pace Stadium
Pacific Lutheran,Northwest,Lutes,47.1849009,-122.29214,Sparks Stadium
Pacific (OR),Northwest,Boxers,45.5197452,-123.1114405,Hanson Stadium
Penn State,Big Ten,Nittany Lions,40.8121958,-77.8561023,Beaver Stadium
Pennsylvania,Ivy,Quakers,39.9501475,-75.1901043,Franklin Field
PennWest California,Pennsylvania State Athletic,Vulcans,40.0236854,-79.8839357,Adamson Stadium
Pittsburgh,ACC,Panthers,40.4467648,-80.0157603,Acrisure Stadium
Pittsburg St,Mid America,Gorillas,37.4108841,-94.70496,Carnie Smith Stadium
Plymouth State,MSCAC,Panthers,43.757209,-71.688538,Charles L. Currier Memorial Field
Pomona Pitzer,So. Cal.,Sagehens,34.0966764,-117.7197785,Merritt Field
Portland State,Big Sky,Vikings,45.554597,-122.90694,Hillsboro Stadium
Prairie View A&M,SWAC,Panthers,30.0937874,-95.9960913,Panther Stadium
Presbyterian,Pioneer,Blue Hose,34.46158,-81.861368,Bailey Memorial Stadium
Princeton,Ivy,Tigers,40.3457928,-74.6500047,Princeton University Stadium
Puget Sound,Northwest,Loggers,47.2495798,-122.4398746,Baker Stadium
Purdue,Big Ten,Boilermakers,40.4352253,-86.9186843,Ross-Ade Stadium
Quincy,Great Lakes,Hawks,39.9356016,-91.4098727,QU Stadium
Randolph-Macon,Old Dominion,Yellow Jackets,37.7594012,-77.4806603,Day Field
Reading,Mid Atlantic,Golden Wolves,40.335345,-75.9279495,Turf Field
Redlands,So. Cal.,Bulldogs,34.0550328,-117.1827445,Ted Runner Stadium
Rensselaer,Liberty League,Engineers,42.7284117,-73.6917878,ECAV Stadium
Rhode Island,CAA,Rams,41.4879984,-71.5347458,Meade Stadium
Rhodes College,Southern Athletic,Lynx,35.1335022,-89.9668758,Crain Field
Rice,American Athletic,Owls,29.7163297,-95.4093261,Rice Stadium
Richmond,Patriot,Spiders,37.5807765,-77.5372211,E. Claiborne Robins Stadium
Ripon,Midwest,Red Hawks,43.8424502,-88.8372972,Ingalls Field
Robert Morris,NEC,Colonials,40.521046,-80.2159227,Joe Walton Stadium
Rockford,NACC,Regents,42.2713945,-89.093966,Sam Greeley Field
Rose-Hulman,Heartland,Fightin' Engineers,39.4667025,-87.4139119,Cook Stadium
Rowan,New Jersey,Profs,39.7027677,-75.1119434,Richard Wackar Stadium
Rutgers,Big Ten,Scarlet Knights,40.5462553,-74.4660408,SHI Stadium
Sacramento State,Mid-American,Hornets,38.5556718,-121.4229607,Hornet Stadium
Sacred Heart,FCS Independents,Pioneers,41.2212488,-73.2417431,Campus Field
Saginaw Valley State,GLIAC,Cardinals,25.71414555,-80.27640498387049,Harvey Randall Wickes Memorial Stadium
Saint John's (MN),Minnesota,Johnnies,45.5944117,-94.3622868,Clemens Stadium
Saint Vincent,Presidents',Bearcats,40.317287,-79.3840301,Chuck Noll Field
Salisbury,New Jersey,Sea Gulls,38.366027,-75.6009964,Sea Gull Stadium
Salve Regina,NEWMAC,Seahawks,41.4899827,-71.3137707,Toppa Field
Samford,Southern,Bulldogs,33.463273,-86.795326,Seibert Stadium
Sam Houston,Conference USA,Bearkats,30.713926,-95.5419802,Elliott T. Bowers Stadium
San Diego,Pioneer,Toreros,32.7730674,-117.183721,Torero Stadium
San Diego State,Pac-12,Aztecs,32.784444,-117.122833,Snapdragon Stadium
San José State,Mountain West,Spartans,37.3196675,-121.8682962,CEFCU Stadium
Savannah St,SIAC,Tigers,32.0274346,-81.0687492,Ted Wright Stadium
SE Louisiana,Southland,Lions,30.5110264,-90.4685792,Strawberry Stadium
Seton Hill,Pennsylvania State Athletic,Griffins,40.3014581,-79.5389289,Offutt Field
Sewanee,Southern Athletic,Tigers,35.200644,-85.91952368522726,Hardee-McGee Field
Shaw,CIAA,Bears,35.7803977,-78.6390989,George Williams Athletic Complex
Shenandoah,Old Dominion,Hornets,39.1852184,-78.1652404,Shentel Stadium
Shepherd,Pennsylvania State Athletic,Rams,39.4300996,-77.804161,Ram Stadium (WV)
Shippensburg,Pennsylvania State Athletic,Raiders,40.0507198,-77.5205485,Seth Grove Stadium
Simon Fraser,Lone Star,Clansmen,35.895335,-78.515105,Terry Fox Field
Simpson College (IA),American Rivers,Storm,41.3604966,-93.5613292,Bill Buxton Stadium
Slippery Rock,Pennsylvania State Athletic,The Rock,41.0639506,-80.0564468,Mihalik-Thompson Stadium
SMU,ACC,Mustangs,32.8377223,-96.7827859,Gerald J. Ford Stadium
South Alabama,Sun Belt,Jaguars,30.6943566,-88.0430541,Hancock Whitney Stadium
South Carolina,SEC,Gamecocks,33.9730239,-81.0191726,Williams-Brice Stadium
South Carolina State,MEAC,Bulldogs,33.4986313,-80.8446857,Oliver C. Dawson Stadium
South Dakota,MVFC,Coyotes,42.7911218,-96.9278427,DakotaDome
South Dakota Mines,Rocky Mountain,Hardrockers,44.0869329,-103.2274481,O'Harra Stadium
South Dakota State,MVFC,Jackrabbits,44.3210182,-96.7801386,Dana J. Dykhouse Stadium
Southeastern Oklahoma State,Great American,Savage Storm,33.9919761,-96.3776762,Paul Laird Field
Southeast Missouri State,Big South-OVC,Redhawks,37.3034933,-89.5230357,Houck Field
Southern,SWAC,Jaguars,30.5221461,-91.1896087,Ace W. Mumford Stadium
Southern Arkansas,Great American,Muleriders,33.2670725,-93.2393341,Wilkins Stadium
Southern Connecticut State,Northeast 10,Owls,41.3082138,-72.9250518,Jess Dow Field
Southern Illinois,MVFC,Salukis,37.708637,-89.216212,Saluki Stadium
Southern Miss,Sun Belt,Golden Eagles,31.3289321,-89.3318118,M. M. Roberts Stadium
Southern Nazarene,Great American,Crimson Storm,35.5186728,-97.6322648,Southern Nazarene University Football Stadium
Southern Utah,UAC,Thunderbirds,37.6757919,-113.0773938,Eccles Coliseum
Southern Virginia,USA South,Knights,37.7342962,-79.3539292,Knight Stadium
South Florida,American Athletic,Bulls,27.9758691,-82.5033344,Raymond James Stadium
Southwest Baptist,Great Lakes,Bearcats,37.1976229,-93.2798119,Plaster Sports Complex
Southwestern Oklahoma State,Great American,Bulldogs,35.5261633,-98.7075744,Milam Stadium
Southwest Minnesota State,Northern Sun,Mustangs,48.3605336,-96.381968,Schwan Regional Event Center
Springfield,NEWMAC,Pride,42.1018764,-72.5886727,Stagg Field
Stanford,ACC,Cardinal,37.4345556,-122.1611271,Stanford Stadium
St. Anselm,Northeast 10,Hawks,42.9956397,-71.4547891,Grappone Stadium
St. Augustine's,CIAA,Falcons,35.7803977,-78.6390989,George Williams Athletic Complex
Stephen F. Austin,Southland,Lumberjacks,31.625719,-94.6444034,Homer Bryce Stadium
Stetson,Pioneer,Hatters,29.0208575,-81.2993746,Spec Martin Municipal Stadium
Stevenson,Mid Atlantic,Mustangs,39.4102772,-76.7128314,Mustang Stadium
St. Francis (PA),NEC,Red Flash,40.5063173,-78.637214,DeGol Field
St John Fisher University,Empire 8,Cardinals,43.157285,-77.615214,Growney Stadium
St. Lawrence,Liberty League,Saints,44.5956163,-75.1690942,Leckonby Stadium
St. Norbert,NACC,Green Knights,44.4493584,-88.0599986,Donald J. Schneider Stadium
St. Olaf,Minnesota,Oles,44.4582041,-93.161159,Klein Field at Manitou
Stonehill,NEC,Skyhawks,42.0667665,-71.1036592,W.B. Mason Stadium
Stony Brook,CAA,Seawolves,40.9188829,-73.1242966,Kenneth P. LaValle Stadium
St. Scholastica,Minnesota,Saints,46.7729322,-92.1251218,Public Schools Stadium
St. Thomas (MN),Pioneer,Tommies,44.9497487,-93.0931028,O'Shaughnessy Stadium
Sul Ross State,Lone Star,Lobos,30.3573802,-103.6609367,Jackson Field
SUNY Maritime,NEWMAC,Privateers,40.807528,-73.797744,Reinhart Field
SUNY Morrisville,Empire 8,Mustangs,42.8986566,-75.6402204,Drake Field (NY)
Susquehanna,Landmark Conference,River Hawks,40.8062437,-76.8607084,Amos Alonzo Stagg Field (PA)
Syracuse,ACC,Orange,43.0362269,-76.1363161,JMA Wireless Dome
Tarleton State,UAC,Texans,32.2191836,-98.2130634,"Memorial Stadium (Stephenville, TX)"
TCU,Big 12,Horned Frogs,32.7096604,-97.3680835,Amon G. Carter Stadium
Temple,American Athletic,Owls,39.9007995,-75.1675414,Lincoln Financial Field
Tennessee,SEC,Volunteers,35.9550131,-83.9250128,Neyland Stadium
Tennessee State,Big South-OVC,Tigers,36.166479,-86.7712898,Nissan Stadium
Tennessee Tech,Big South-OVC,Golden Eagles,36.1780555,-85.506183,Tucker Stadium
Texas,SEC,Longhorns,30.2836813,-97.7325345,DKR-Texas Memorial Stadium
Texas A&M,SEC,Aggies,30.6098891,-96.3403828,Kyle Field
Texas A&M-Kingsville,Lone Star,Javelinas,27.5158689,-97.856109,Javelina Stadium
Texas Lutheran,Southern Collegiate Athletic,Bulldogs,29.5688411,-97.9647269,Bulldog Stadium (TX)
Texas Southern,SWAC,Tigers,29.7521988,-95.3524146,BBVA Compass Stadium
Texas State,Pac-12,Bobcats,29.8910008,-97.9255735,Bobcat Stadium (TX)
Texas Tech,Big 12,Red Raiders,33.5910518,-101.8728824,Jones AT&T Stadium
The Citadel,Southern,Bulldogs,32.7936975,-79.9558183,Johnson Hagood Stadium
Toledo,Mid-American,Rockets,41.6574777,-83.6135652,Glass Bowl
Towson,CAA,Tigers,39.3885683,-76.6159716,Johnny Unitas Stadium
Trine University,Michigan,Thunder,41.634874,-84.99928,Fred Zollner Athletic Stadium
Trinity (CT),NESCAC,Bantams,41.764582,-72.6908547,Jessee/Miller Field
Trinity University TX,Southern Athletic,Tigers,29.4246002,-98.4951405,Trinity University Stadium
Troy,Sun Belt,Trojans,31.7995565,-85.9518328,Veterans Memorial Stadium (AL)
Truman State,Great Lakes,Bulldogs,40.1948848,-92.5833939,Stokes Stadium
Tufts,NESCAC,Jumbos,42.4184296,-71.1061639,Ellis Oval at Zimman Field
Tulane,American Athletic,Green Wave,29.944616,-90.116692,Yulman Stadium
Tulsa,American Athletic,Golden Hurricane,36.1489175,-95.9437853,Chapman Stadium
Tuskegee,SIAC,Golden Tigers,32.4240286,-85.6916195,Abbott Memorial Alumni Stadium
UAB,American Athletic,Blazers,33.5206824,-86.8024326,Protective Stadium
UAlbany,CAA,Great Danes,42.6808062,-73.8272841,Bob Ford Field
UC Davis,Big Sky,Aggies,38.5365266,-121.7627936,Aggie Stadium
UCF,Big 12,Knights,28.6079765,-81.1927233,FBC Mortgage Stadium
UCLA,Big Ten,Bruins,34.1613284,-118.1676462,Rose Bowl
UConn,FBS Independents,Huskies,41.7595675,-72.6187728,Pratt & Whitney Stadium
UL Monroe,Sun Belt,Warhawks,32.5308089,-92.0660602,Malone Stadium
UMass Dartmouth,MSCAC,Corsairs,41.6332267,-70.9879928,Cressy Field
UNC Pembroke,Carolinas,Braves,34.6801627,-79.1950373,Grace P. Johnson Stadium
Union (NY),Liberty League,Garnet Chargers,42.8142432,-73.9395687,Frank Bailey Field
University Of Charleston (WV),Mountain East,Golden Eagles,38.3505995,-81.6332812,University of Charleston Stadium
University of Mount Union,Ohio,Raiders,40.9153362,-81.1059309,Mount Union Stadium
University of Rochester (NY),Liberty League,Yellow Jackets,43.157285,-77.615214,Edwin Fauver Stadium
UNLV,Mountain West,Rebels,36.1672559,-115.1485163,Allegiant Stadium
Upper Iowa University,Great Lakes,Peacocks,42.8420766,-91.850265,Harms-Eischeid Stadium
Ursinus,Centennial,Bears,40.1856597,-75.451571,Patterson Field
USC,Big Ten,Trojans,34.014167,-118.287778,Los Angeles Memorial Coliseum
Utah,Big 12,Utes,40.7599724,-111.8488255,Rice-Eccles Stadium
Utah State,Pac-12,Aggies,41.7517394,-111.8116007,Maverik Stadium
Utah Tech,UAC,Trailblazers,37.1098868,-113.5674494,Greater Zion Stadium
UTEP,Mountain West,Miners,31.7733353,-106.507957,Sun Bowl
Utica,Empire 8,Pioneers,43.1009031,-75.2326641,Charles A. Gaetano Stadium
UT Martin,Big South-OVC,Skyhawks,36.3448341,-88.8616245,Graham Stadium
UT Permian Basin,Lone Star,Falcons,31.8457149,-102.367687,Ratliff Stadium
UTSA,American Athletic,Roadrunners,29.4169834,-98.4788143,Alamodome
UVA Wise,South Atlantic,Cavaliers,36.9759345,-82.5757108,Carl Smith Stadium
Valdosta State,Gulf South,Blazers,30.8327022,-83.2784851,Bazemore-Hyder Stadium
Valparaiso,Pioneer,Beacons,41.465642,-87.0479446,Brown Field
Vanderbilt,SEC,Commodores,36.1440455,-86.8088942,FirstBank Stadium
Villanova,CAA,Wildcats,40.0343329,-75.3367666,Villanova Stadium
Virginia,ACC,Cavaliers,38.0311801,-78.5137897,Scott Stadium
Virginia St,CIAA,Trojans,37.227928,-77.4019268,Rogers Stadium (VA)
Virginia Tech,ACC,Hokies,37.2199873,-80.4180643,Lane Stadium
VMI,Southern,Keydets,37.788983,-79.43505,Alumni Memorial Field
Wabash College,North Coast,Little Giants,40.0401991,-86.8990249,Little Giant Stadium
Wagner,NEC,Seahawks,40.614688,-74.090639,Wagner College Stadium
Wake Forest,ACC,Demon Deacons,36.1305507,-80.2545851,Allegacy Federal Credit Union Stadium
Walsh,Great Midwest Athletic,Cavaliers,40.7985464,-81.3749508,Tom Benson Hall of Fame Stadium
Wartburg,American Rivers,Knights,42.7258451,-92.4746033,Walston-Hoover Stadium
Washburn,Mid America,Ichabods,39.049011,-95.677556,Yager Stadium at Moore Bowl
Washington,Big Ten,Huskies,47.6503235,-122.3015746,Husky Stadium
Washington and Lee,Old Dominion,Generals,37.7840208,-79.4428157,Wilson Field
Washington & Jefferson,Presidents',Presidents,31.3991238,-88.2019828,Cameron Stadium
Washington State,Pac-12,Cougars,46.731831,-117.1604991,Gesa Field
Washington University (St. Louis),CCIW,Bears,38.6264256,-90.1995853,Francis Field (MO)
Waynesburg,Presidents',Yellow Jackets,39.8964641,-80.1792299,John F. Wiley Stadium
Wayne State (MI),GLIAC,Warriors,42.3315509,-83.0466403,Tom Adams Field
Wayne State (NE),Northern Sun,Wildcats,42.1941294,-97.169623,"Memorial Stadium (Wayne, NE)"
Weber State,Big Sky,Wildcats,41.1918741,-111.9401391,Stewart Stadium
Wesleyan University (CT),NESCAC,Cardinals,41.5623178,-72.6509061,Corwin Stadium
West Alabama,Gulf South,Tigers,32.5843026,-88.1872474,Tiger Stadium (AL)
West Chester,Pennsylvania State Athletic,Golden Rams,39.9597213,-75.6059638,John A. Farrell Stadium
Western Carolina,Southern,Catamounts,35.3048352,-83.1818148,E. J. Whitmire Stadium
Western Colorado,Rocky Mountain,Mountaineers,38.6476702,-107.0603126,Mountaineer Bowl
Western Connecticut St,Landmark Conference,Wolves,41.394817,-73.4540111,Westside Athletic Complex
Western Illinois,Big South-OVC,Leathernecks,40.4683928,-90.6841248,Hanson Field
Western Kentucky,Conference USA,Hilltoppers,36.9847901,-86.4594041,Houchens Industries-L.T. Smith Stadium
Western Michigan,Mid-American,Broncos,42.2860064,-85.6007573,Waldo Stadium
Western New England,Commonwealth Coast,Golden Bears,42.1018764,-72.5886727,Golden Bear Stadium
Western New Mexico,Lone Star,Mustangs,32.7751371,-108.2754371,Ben Altamirano Field
Western Oregon,Lone Star,Wolves,44.8486414,-123.2290777,McArthur Field
Westfield State,MSCAC,Owls,42.1390327,-72.7584859,"Alumni Field (Westfield, MA)"
West Georgia,UAC,Wolves,33.5801103,-85.0766113,University Stadium (GA)
West Liberty,Mountain East,Hilltoppers,40.0639616,-80.7209149,West Family Stadium
Westminster College (MO),Upper Midwest,Blue Jays,38.8467082,-91.9479586,Blue Jay Stadium
Westminster (PA),Presidents',Titans,41.1222812,-80.3328428,Memorial Field (PA)
West Texas A&M,Lone Star,Buffaloes,34.9799429,-101.919197,Buffalo Stadium
West Virginia,Big 12,Mountaineers,39.6502744,-79.9551873,Milan Puskar Stadium
West Virginia State,Mountain East,Yellow Jackets,38.3836097,-81.7654665,Dickerson Stadium
West Virginia Wesleyan,Mountain East,Bobcats,38.9939426,-80.2322698,Cebe Ross Field
Wheaton,CCIW,Thunder,41.8646959,-88.1101709,McCully Stadium
Wheeling,Mountain East,Cardinals,40.0639616,-80.7209149,Bishop Schmitt Field
Whittier,So. Cal.,Poets,33.9708782,-118.0308396,"Memorial Stadium (Whittier, CA)"
Whitworth,Northwest,Pirates,47.6571934,-117.4235106,The Pine Bowl
Widener,Mid Atlantic,Pride,39.849557,-75.3557458,Leslie C. Quick Jr. Stadium
Wilkes,Landmark Conference,Colonels,33.707182,-85.51021468718943,Schmidt Stadium
Willamette,Northwest,Bearcats,44.9391565,-123.033121,McCulloch Stadium
William & Mary,CAA,Tribe,37.2730996,-76.7137202,Zable Stadium
William Paterson,New Jersey,Pioneers,40.9491723,-74.2376802,Wightman Stadium
Williams,NESCAC,Ephs,42.6889156,-73.2246057,Farley-Lamb Field
Wilmington (OH),Ohio,Fightin' Quakers,39.4453393,-83.8285375,Wiliams Stadium (OH)
Wilson,Carolinas,Bulldogs,35.7212689,-77.9155395,Electric Supply Company Field
Wingate,South Atlantic,Bulldogs,34.9843176,-80.4492319,Irwin Belk Stadium
Winona State,Northern Sun,Warriors,43.9582272,-91.7807784,Altra Federal Credit Union Stadium
Winston-Salem,CIAA,Rams,36.083372,-80.222037,Bowman Gray Stadium
Wisconsin,Big Ten,Badgers,43.06994,-89.4126943,Camp Randall Stadium
Wisconsin-Eau Claire,Wisconsin,Blugolds,44.811349,-91.4984941,Carson Park
Wisconsin-Lacrosse,Wisconsin,Eagles,43.8122836,-91.2514355,Veterans Memorial Stadium (WI)
Wisconsin-Lutheran,NACC,Warriors,43.0494122,-88.0079271,Warrior Field at Raabe Stadium
Wisconsin-Oshkosh,Wisconsin,Titans,44.0206919,-88.5408574,J.J. Keller Field at Titan Stadium
Wisconsin-Platteville,Wisconsin,Pioneers,42.7342942,-90.4784451,Ralph E. Davis Pioneer Stadium
Wisconsin-River Falls,Wisconsin,Falcons,44.8595111,-92.6265897,David Smith Stadium at Ramer Field
Wisconsin-Stevens Pt,Wisconsin,Pointers,44.5229223,-89.574111,Community Stadium at Goerke Park
Wisconsin-Stout,Wisconsin,Blue Devils,44.8755183,-91.9193422,Don and Nona Williams Stadium
Wisconsin-Whitewater,Wisconsin,Warhawks,42.8336422,-88.7292679,Perkins Stadium
Wittenberg,North Coast,Tigers,39.937943,-83.812075,Edwards-Maurer Field
Wofford,Southern,Terriers,34.9618606,-81.9328915,Gibbs Stadium
Wooster,North Coast,Fighting Scots,40.7980976,-81.9397733,John P. Papp Stadium
Worcester Polytechnic Institute,NEWMAC,Engineers,42.2625621,-71.8018877,"Alumni Stadium (Worcester, MA)"
Worcester St,MSCAC,Lancers,42.2625621,-71.8018877,John Coughlin Memorial Field
Wyoming,Mountain West,Cowboys,41.31161,-105.5681384,War Memorial Stadium
Yale,Ivy,Bulldogs,41.3132441,-72.9605333,Yale Bowl
Youngstown State,MVFC,Penguins,41.1092964,-80.6501885,Stambaugh Stadium
Belhaven,USA South,Blazers,32.2990021,-90.1847691,Belhaven Bowl Stadium
Chowan,Carolinas,Hawks,36.434053,-77.098431,Garrison Stadium
Kean,New Jersey,Cougars,40.6976019,-74.2632024,Kean Alumni Stadium
Knox College,Midwest,Prairie Fire,40.9475652,-90.3712169,Harley Knosher Bowl
Lakeland,NACC,Muskies,43.7486054,-87.977038,Taylor Field
Lane College,SIAC,Dragons,35.6144446,-88.8177418,Lane Field
