year,team,rec_qb,rec_rb,rec_wr,rec_ol,rec_dl,rec_lb,rec_db
2015,Air Force,0.7805500030517578,0.7806666692097982,0.7583333452542623,0.7715333302815756,0.7719666759173075,0.7341499924659729,0.7817500084638596
2015,Akron,,0.7466500103473663,0.77396000623703,0.7797666589419047,0.7577999830245972,0.8061000108718872,0.7529500126838684
2015,Alabama,0.989799976348877,0.9104333519935608,0.9617000023523966,0.9388250112533569,0.9537333448727926,0.9167500138282776,0.9696000069379807
2015,Alabama State,,,,,,,
2015,Alcorn State,,,,,0.7847000062465668,,
2015,App State,0.8389000296592712,,0.793749988079071,0.7793750017881393,0.7708999812602997,0.775433341662089,0.7738499939441681
2015,Arizona,,0.8103000223636627,0.8294000029563904,0.8623999754587809,,,0.8314999938011169
2015,Arizona State,0.9672999978065491,0.8285999894142151,0.885200023651123,0.8731333414713541,0.9085500240325928,0.8964000046253204,
2015,Arkansas,0.911899983882904,,0.8991666833559672,0.8696666757265726,0.9021666646003723,,0.8188000122706095
2015,Arkansas State,0.8155999779701233,0.8044750094413757,0.8131333390871683,0.8181000053882599,0.7986749857664108,0.7928999960422516,0.8044000267982483
2015,Army,0.7744500041007996,0.7648500204086304,,0.7556750178337097,0.7646428772381374,0.7648666799068451,0.7689375206828117
2015,Auburn,0.8863999843597412,0.8979500234127045,0.8834333419799805,0.9016749858856201,0.9398666620254517,0.899679982662201,0.8867999911308289
2015,Austin Peay,0.699999988079071,0.7452999949455261,0.7100000083446503,0.7102999849752947,0.7161856974874224,,0.699999988079071
2015,BYU,0.7921499907970428,,0.8185999989509583,0.800439989566803,0.7924666802088419,0.8539000153541565,0.8243333101272583
2015,Ball State,0.8531000018119812,0.8307999968528748,0.7671250104904175,0.7786666750907898,0.7864750176668167,0.8130999803543091,0.7844666739304861
2015,Baylor,0.9829000234603882,0.9114999771118164,0.9032000005245209,0.8357999920845032,0.7718999981880188,0.8185999989509583,
2015,Bethune-Cookman,0.7682999968528748,,0.766700029373169,,,,
2015,Boise State,0.9075000286102295,0.8348000049591064,0.8552500009536743,0.8173999786376953,0.8168666561444601,0.7944200038909912,0.8288999795913696
2015,Boston College,0.8531000018119812,0.8209500014781952,0.8274999856948853,0.8263999819755554,,0.833299994468689,0.8137999971707662
2015,Bowling Green,0.8772000074386597,0.7825999855995178,0.795199990272522,0.788266658782959,0.7913999954859415,0.7769500017166138,0.7916000088055929
2015,Bucknell,0.8241999745368958,,0.699999988079071,0.699999988079071,0.699999988079071,,0.699999988079071
2015,Buffalo,0.8248000144958496,0.7644000053405762,0.7823666632175446,0.7633000016212463,0.7483000159263611,,0.7766333421071371
2015,Butler,,,0.766700029373169,,,,
2015,Cal Poly,,,0.8138000071048737,0.8281000256538391,,,
2015,California,,0.8858000040054321,0.8956666588783264,0.8496333360671997,0.8344999998807907,,
2015,Central Michigan,0.8037500083446503,0.7971000075340271,0.7990333437919617,0.8044499754905701,0.7938400149345398,0.7829000055789948,0.7987333337465922
2015,Charleston Southern,0.699999988079071,0.733299970626831,,,0.699999988079071,0.7396999895572662,
2015,Charlotte,,0.7644000053405762,0.7866499871015549,0.7778666615486145,0.7577999830245972,0.7602333227793375,0.7876666585604349
2015,Chattanooga,0.7400000095367432,0.7729333241780599,,0.7900000214576721,,0.7856000065803528,0.7955999970436096
2015,Cincinnati,,0.8394499719142914,0.8128750026226044,0.794299989938736,0.8167999982833862,0.8385999798774719,0.8049499988555908
2015,Clemson,0.8567000031471252,,0.9292333324750265,0.9392666618029276,0.9332200050354004,0.8146000107129415,0.8688749969005585
2015,Coastal Carolina,0.7706999778747559,0.766700029373169,,0.699999988079071,0.766700029373169,,0.699999988079071
2015,Colgate,0.788750022649765,,,,,,0.7889000177383423
2015,Colorado,,,0.8077999949455261,0.8944000005722046,0.7977333267529806,0.8580999970436096,
2015,Colorado State,0.8064000010490417,0.7788999974727631,0.8176500201225281,0.7837499976158142,0.7732999920845032,0.7785000205039978,
2015,Columbia,0.7485999763011932,,,,,,
2015,Cornell,,,0.7644000053405762,,,,
2015,Dartmouth,,0.766700029373169,0.7799999713897705,,0.8216999769210815,,
2015,Delaware,0.699999988079071,0.7200000286102295,0.699999988079071,0.7900000214576721,0.7671999931335449,,
2015,Delaware State,,0.75,,,,,
2015,Duke,0.7900000214576721,,,,0.8197000026702881,0.9301000237464905,0.8235999941825867
2015,Duquesne,0.800000011920929,,0.7299999892711639,,0.8061000108718872,,0.766700029373169
2015,East Carolina,0.8105999827384949,,0.817799985408783,0.785400003194809,,,0.8128333489100138
2015,East Tennessee State,,,0.800000011920929,0.7355666756629944,,,
2015,Eastern Illinois,,,,,0.7843999862670898,,
2015,Eastern Kentucky,0.8105999827384949,,,,,0.699999988079071,
2015,Eastern Michigan,0.7999999821186066,0.7870999972025553,0.7750833332538605,0.7625000178813934,0.7920249998569489,0.7583999931812286,0.7903999984264374
2015,Eastern Washington,,,,0.766700029373169,0.766700029373169,,
2015,Elon,,,0.810699999332428,,,,
2015,Florida,,0.9257999956607819,0.8736500144004822,0.8719800114631653,0.9047999978065491,0.8173999786376953,
2015,Florida A&M,0.8288999795913696,,0.7955999970436096,,,0.808899998664856,0.699999988079071
2015,Florida Atlantic,0.8392000198364258,0.8059333165486654,0.8046000003814697,0.7973000109195709,0.7785000205039978,0.7747000058492025,0.8205599904060363
2015,Florida International,0.812749981880188,0.7879000008106232,0.7787857140813556,0.7825250178575516,0.7958999872207642,0.8119666576385498,0.7982666691144308
2015,Florida State,0.9260500073432922,0.9829000234603882,0.9170799970626831,0.9192000031471252,0.9572499990463257,0.9023000001907349,0.942550003528595
2015,Fordham,,,0.7129749953746796,0.699999988079071,,,0.699999988079071
2015,Fresno State,,0.853600025177002,0.8707000017166138,0.8130333423614502,0.7751999795436859,0.821399986743927,0.8082000017166138
2015,Furman,,0.7644500136375427,0.8222000002861023,,,,0.78329998254776
2015,Gardner-Webb,,0.8019000291824341,,0.766700029373169,,,
2015,Georgetown,,,,0.7694000005722046,,,
2015,Georgia,,,0.8810999989509583,0.9165999889373779,0.9525000055631002,0.9367499947547913,0.9024333357810974
2015,Georgia Southern,0.8169000148773193,0.7898500263690948,0.7844499945640564,0.8016500174999237,0.8277999758720398,0.7792999744415283,0.8082749992609024
2015,Georgia State,0.7914000153541565,,0.7732999920845032,,0.7806000113487244,0.792849987745285,0.7763000130653381
2015,Georgia Tech,,0.8233250081539154,0.8727999925613403,0.8133000135421753,0.82669997215271,,0.8258000016212463
2015,Grand Valley State University,,,,,,,
2015,Hampton,,,,0.8288999795913696,,,
2015,Harvard,0.766700029373169,,0.772599995136261,0.7639000117778778,,,
2015,Hawai'i,,,,0.7894333203633627,0.75,,0.8525000214576721
2015,Holy Cross,0.766700029373169,,,,,0.766700029373169,
2015,Houston,,0.8589999973773956,0.7780250012874603,0.7932999928792318,0.8179000020027161,0.7933249920606613,0.7592500150203705
2015,Idaho,0.8091999888420105,0.7703000009059906,0.7752000093460083,0.783050000667572,0.7433000206947327,0.7648000121116638,0.7932999730110168
2015,Idaho State,,0.7858999967575073,,,,,
2015,Illinois,,0.8673333326975504,0.8357999920845032,0.8768500089645386,0.8521999716758728,,0.8018499910831451
2015,Illinois State,0.766700029373169,,0.766700029373169,,0.7778000235557556,,0.8199999928474426
2015,Incarnate Word,0.833299994468689,,0.7825999855995178,,,,
2015,Indiana,0.8307999968528748,0.8346999883651733,0.8297500014305115,0.8329000174999237,0.8004500269889832,,0.8242666721343994
