id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
-1044179,Aaron,Young,Wyoming,198.0,74.0,12.0,2015,QB,Sacramento,CA,USA,38.5815719,-121.4943996,06067,['186598']
-1044178,Eddie,Yarbrough,Wyoming,251.0,75.0,55.0,2015,DE,Aurora,CO,USA,39.729432,-104.8319196,08005,['154200']
-1044177,Will,Tutein,Wyoming,212.0,74.0,36.0,2015,LB,St. Croix,,U.S.,,,,[]
-1044176,Riley,Stringer,Wyoming,270.0,73.0,76.0,2015,NT,Powell,WY,USA,44.752873,-108.75902,56029,[]
-1044175,Ryley,Southam,Wyoming,279.0,75.0,79.0,2015,C,Durham,CA,USA,39.6460634,-121.8001235,06007,[]
-1044174,Tanner,Simpson,Wyoming,183.0,74.0,82.0,2015,WR,Lander,WY,USA,42.8330755,-108.7307024,56013,[]
-1044173,Collin,Root,Wyoming,213.0,73.0,46.0,2015,FB,Broomfield,CO,USA,39.9203827,-105.0691464,08014,[]
-1044172,Charlie,Renfree,Wyoming,281.0,75.0,64.0,2015,C,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,['147907']
-1044171,Rayan,Refae,Wyoming,180.0,71.0,6.0,2015,PK,Orlando,FL,USA,28.5421109,-81.3790304,12095,[]
-1044170,Donzel,Polite,Wyoming,160.0,69.0,35.0,2015,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
-1044169,Uso,Olive,Wyoming,301.0,73.0,90.0,2015,DT,Federal Way,WA,USA,47.313494,-122.3393103,53033,['151755']
-1044167,Luke,Miller,Wyoming,220.0,73.0,41.0,2015,LB,Golden,CO,USA,39.755543,-105.2210997,08059,[]
-1044166,Jacob,McGarvin,Wyoming,159.0,69.0,30.0,2015,WR,Worland,WY,USA,44.016833,-107.955797,56043,[]
-1044165,Waddie,Love,Wyoming,188.0,73.0,52.0,2015,LB,Encampment,WY,USA,41.20726635,-106.7930382769234,56007,[]
-1044164,Xavier,Lewis,Wyoming,195.0,72.0,18.0,2015,?,Aurora,CO,USA,39.729432,-104.8319196,08005,['148050']
-1044163,Grant,Lewis,Wyoming,226.0,77.0,84.0,2015,TE,Memphis,TN,USA,35.1490215,-90.0516285,47157,['145163']
-1044162,Erik,Larrow,Wyoming,255.0,76.0,71.0,2015,C,Windsor,CO,USA,40.4774818,-104.9013617,08123,[]
-1044161,Alex,Langer,Wyoming,195.0,71.0,37.0,2015,PK,Des Moines,IA,USA,41.5910641,-93.6037149,19153,[]
-1044160,Taylor,Knestis,Wyoming,299.0,77.0,58.0,2015,OT,Lakewood,CO,USA,39.631108499999996,-105.11005818223015,08059,['147768']
-1044159,Rafe,Kiely,Wyoming,304.0,75.0,63.0,2015,C,Wheaton,IL,USA,41.8646959,-88.1101709,17043,['154451']
-1044158,Fred,Jones,Wyoming,173.0,70.0,20.0,2015,CB,Monument,CO,USA,39.06775465,-104.86175880732664,08041,[]
-1044157,C.J.,Jennings,Wyoming,180.0,70.0,26.0,2015,CB,Orlando,FL,USA,28.5421109,-81.3790304,12095,['144772']
-1044156,Issac,Jefferson,Wyoming,155.0,68.0,31.0,2015,WR,Rawlins,WY,USA,41.7907878,-107.2391768,56007,[]
-1044155,Isaiah,Jefferson,Wyoming,183.0,70.0,17.0,2015,?,Rawlins,WY,USA,41.7907878,-107.2391768,56007,[]
-1044154,Kevin,Jackson,Wyoming,169.0,74.0,24.0,2015,?,LaGrange Park,IL,USA,33.039291,-85.0313269,13285,['140818']
-1044153,Kendell,Hollowell,Wyoming,180.0,74.0,14.0,2015,?,Corona,CA,USA,33.8752945,-117.5664449,06065,[]
-1044152,Siaosi,Hala'api'api,Wyoming,250.0,74.0,34.0,2015,DE,Honolulu,HI,USA,21.304547,-157.8556764,15003,['151936']
-1044151,Trent,Geiser,Wyoming,178.0,70.0,18.0,2015,CB,Merna,NE,USA,41.484038,-99.7602855,31041,[]
-1044150,Tavita,Faaiu,Wyoming,250.0,75.0,47.0,2015,DE,San Francisco,CA,USA,37.7790262,-122.4199061,06075,['186139']
-1044149,Jacob,English,Wyoming,291.0,77.0,95.0,2015,NT,Beloit,KS,USA,39.458684,-98.108282,20123,['151636']
-1044148,Tristan,Eickbush,Wyoming,185.0,73.0,16.0,2015,S,Laramie,WY,USA,41.311367,-105.591101,56001,[]
-1044147,Seth,Edeen,Wyoming,215.0,75.0,62.0,2015,DE,Cheyenne,WY,USA,41.139981,-104.820246,56021,[]
-1044146,Dameko,Doddles,Wyoming,202.0,74.0,25.0,2015,WR,Oklahoma City,OK,USA,35.4729886,-97.5170536,40109,['140171']
-1044145,Weston,Dinsmore,Wyoming,195.0,75.0,86.0,2015,WR,Broomfield,CO,USA,39.9203827,-105.0691464,08014,[]
-1044144,Skylor,Clinton,Wyoming,235.0,73.0,92.0,2015,DE,Prescott,AZ,USA,34.5399962,-112.4687616,04025,['140871']
-1044143,Joshua,Clausen,Wyoming,201.0,75.0,87.0,2015,WR,Parker,CO,USA,39.5184514,-104.7612638,08035,[]
-1044142,Wade,Cicierski,Wyoming,222.0,70.0,38.0,2015,FB,Billings,MT,USA,45.7874957,-108.49607,30111,[]
-1044141,Tye,Brown,Wyoming,210.0,74.0,37.0,2015,TE,Laramie,WY,USA,41.311367,-105.591101,56001,[]
-1044140,Danny,Bradfield,Wyoming,226.0,78.0,66.0,2015,OT,Laramie,WY,USA,41.311367,-105.591101,56001,[]
-1044139,Troy,Boyland,Wyoming,302.0,74.0,51.0,2015,G,Palo Alto,CA,USA,37.4443293,-122.1598465,06085,['186930']
-1044138,Natrone,Barnes,Wyoming,170.0,68.0,33.0,2015,CB,Deerfield,FL,USA,28.3804131,-81.4150010766992,12095,[]
