id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds,recruitId,stars,rating
-1044179,Aaron,Young,Wyoming,198.0,74.0,12.0,2015,QB,Sacramento,CA,USA,38.5815719,-121.4943996,6067.0,['186598'],186598.0,,
-1044178,Eddie,Yarbrough,Wyoming,251.0,75.0,55.0,2015,DE,Aurora,CO,USA,39.729432,-104.8319196,8005.0,['154200'],154200.0,2.0,0.7583
-1044177,Will,Tutein,Wyoming,212.0,74.0,36.0,2015,LB,St. Croix,,U.S.,,,,,,,
-1044176,Riley,Stringer,Wyoming,270.0,73.0,76.0,2015,NT,Powell,WY,USA,44.752873,-108.75902,56029.0,,,,
-1044175,Ryley,Southam,Wyoming,279.0,75.0,79.0,2015,C,Durham,CA,USA,39.6460634,-121.8001235,6007.0,,,,
-1044174,Tanner,Simpson,Wyoming,183.0,74.0,82.0,2015,WR,Lander,WY,USA,42.8330755,-108.7307024,56013.0,,,,
-1044173,Collin,Root,Wyoming,213.0,73.0,46.0,2015,FB,Broomfield,CO,USA,39.9203827,-105.0691464,8014.0,,,,
-1044172,Charlie,Renfree,Wyoming,281.0,75.0,64.0,2015,C,Scottsdale,AZ,USA,33.4942189,-111.9260184,4013.0,['147907'],147907.0,2.0,0.7792
-1044171,Rayan,Refae,Wyoming,180.0,71.0,6.0,2015,PK,Orlando,FL,USA,28.5421109,-81.3790304,12095.0,,,,
-1044170,Donzel,Polite,Wyoming,160.0,69.0,35.0,2015,WR,Tampa,FL,USA,27.9477595,-82.458444,12057.0,,,,
-1044169,Uso,Olive,Wyoming,301.0,73.0,90.0,2015,DT,Federal Way,WA,USA,47.313494,-122.3393103,53033.0,['151755'],151755.0,2.0,0.7433
-1044167,Luke,Miller,Wyoming,220.0,73.0,41.0,2015,LB,Golden,CO,USA,39.755543,-105.2210997,8059.0,,,,
-1044166,Jacob,McGarvin,Wyoming,159.0,69.0,30.0,2015,WR,Worland,WY,USA,44.016833,-107.955797,56043.0,,,,
-1044165,Waddie,Love,Wyoming,188.0,73.0,52.0,2015,LB,Encampment,WY,USA,41.20726635,-106.7930382769234,56007.0,,,,
-1044164,Xavier,Lewis,Wyoming,195.0,72.0,18.0,2015,?,Aurora,CO,USA,39.729432,-104.8319196,8005.0,['148050'],148050.0,2.0,0.7719
-1044163,Grant,Lewis,Wyoming,226.0,77.0,84.0,2015,TE,Memphis,TN,USA,35.1490215,-90.0516285,47157.0,['145163'],145163.0,2.0,0.7333
-1044162,Erik,Larrow,Wyoming,255.0,76.0,71.0,2015,C,Windsor,CO,USA,40.4774818,-104.9013617,8123.0,,,,
-1044161,Alex,Langer,Wyoming,195.0,71.0,37.0,2015,PK,Des Moines,IA,USA,41.5910641,-93.6037149,19153.0,,,,
-1044160,Taylor,Knestis,Wyoming,299.0,77.0,58.0,2015,OT,Lakewood,CO,USA,39.6311085,-105.11005818223016,8059.0,['147768'],147768.0,2.0,0.7836
-1044159,Rafe,Kiely,Wyoming,304.0,75.0,63.0,2015,C,Wheaton,IL,USA,41.8646959,-88.1101709,17043.0,['154451'],154451.0,2.0,0.7333
-1044158,Fred,Jones,Wyoming,173.0,70.0,20.0,2015,CB,Monument,CO,USA,39.06775465,-104.86175880732664,8041.0,,,,
-1044157,C.J.,Jennings,Wyoming,180.0,70.0,26.0,2015,CB,Orlando,FL,USA,28.5421109,-81.3790304,12095.0,['144772'],144772.0,2.0,0.7619
-1044156,Issac,Jefferson,Wyoming,155.0,68.0,31.0,2015,WR,Rawlins,WY,USA,41.7907878,-107.2391768,56007.0,,,,
-1044155,Isaiah,Jefferson,Wyoming,183.0,70.0,17.0,2015,?,Rawlins,WY,USA,41.7907878,-107.2391768,56007.0,,,,
-1044154,Kevin,Jackson,Wyoming,169.0,74.0,24.0,2015,?,LaGrange Park,IL,USA,33.039291,-85.0313269,13285.0,['140818'],140818.0,2.0,0.7793
-1044153,Kendell,Hollowell,Wyoming,180.0,74.0,14.0,2015,?,Corona,CA,USA,33.8752945,-117.5664449,6065.0,,,,
-1044152,Siaosi,Hala'api'api,Wyoming,250.0,74.0,34.0,2015,DE,Honolulu,HI,USA,21.304547,-157.8556764,15003.0,['151936'],151936.0,2.0,0.7333
-1044151,Trent,Geiser,Wyoming,178.0,70.0,18.0,2015,CB,Merna,NE,USA,41.484038,-99.7602855,31041.0,,,,
-1044150,Tavita,Faaiu,Wyoming,250.0,75.0,47.0,2015,DE,San Francisco,CA,USA,37.7790262,-122.4199061,6075.0,['186139'],186139.0,,
-1044149,Jacob,English,Wyoming,291.0,77.0,95.0,2015,NT,Beloit,KS,USA,39.458684,-98.108282,20123.0,['151636'],151636.0,2.0,0.7519
-1044148,Tristan,Eickbush,Wyoming,185.0,73.0,16.0,2015,S,Laramie,WY,USA,41.311367,-105.591101,56001.0,,,,
-1044147,Seth,Edeen,Wyoming,215.0,75.0,62.0,2015,DE,Cheyenne,WY,USA,41.139981,-104.820246,56021.0,,,,
-1044146,Dameko,Doddles,Wyoming,202.0,74.0,25.0,2015,WR,Oklahoma City,OK,USA,35.4729886,-97.5170536,40109.0,['140171'],140171.0,3.0,0.8075
-1044145,Weston,Dinsmore,Wyoming,195.0,75.0,86.0,2015,WR,Broomfield,CO,USA,39.9203827,-105.0691464,8014.0,,,,
-1044144,Skylor,Clinton,Wyoming,235.0,73.0,92.0,2015,DE,Prescott,AZ,USA,34.5399962,-112.4687616,4025.0,['140871'],140871.0,2.0,0.7783
-1044143,Joshua,Clausen,Wyoming,201.0,75.0,87.0,2015,WR,Parker,CO,USA,39.5184514,-104.7612638,8035.0,,,,
-1044142,Wade,Cicierski,Wyoming,222.0,70.0,38.0,2015,FB,Billings,MT,USA,45.7874957,-108.49607,30111.0,,,,
-1044141,Tye,Brown,Wyoming,210.0,74.0,37.0,2015,TE,Laramie,WY,USA,41.311367,-105.591101,56001.0,,,,
-1044140,Danny,Bradfield,Wyoming,226.0,78.0,66.0,2015,OT,Laramie,WY,USA,41.311367,-105.591101,56001.0,,,,
-1044139,Troy,Boyland,Wyoming,302.0,74.0,51.0,2015,G,Palo Alto,CA,USA,37.4443293,-122.1598465,6085.0,['186930'],186930.0,,
-1044138,Natrone,Barnes,Wyoming,170.0,68.0,33.0,2015,CB,Deerfield,FL,USA,28.3804131,-81.4150010766992,12095.0,,,,
-1044137,Christian,Backes,Wyoming,250.0,76.0,89.0,2015,TE,Aurora,CO,USA,39.729432,-104.8319196,8005.0,,,,
-1044136,Luis,Bach,Wyoming,208.0,74.0,50.0,2015,LB,Burgoberbach,,Germany,,,,,,,
-1044132,Kurtis,Stirneman,Wyoming,296.0,77.0,75.0,2015,G,Lakewood,IL,USA,42.22919,-88.355086,17111.0,['148537'],148537.0,2.0,0.7544
-1044129,Chase,Roullier,Wyoming,313.0,76.0,73.0,2015,G,Savage,MN,USA,44.7779041,-93.3356204,27139.0,['150926'],150926.0,2.0,0.7906
-1044128,Eli,Moody,Wyoming,281.0,75.0,62.0,2015,OT,Lovell,WY,USA,44.837377,-108.389548,56003.0,,,,
-1044127,Trevor,Meader,Wyoming,239.0,76.0,51.0,2015,DE,Lincoln,NE,USA,40.8088861,-96.7077751,31109.0,,,,
-1044126,Devin,McKenna,Wyoming,228.0,74.0,44.0,2015,LB,Millstone,NJ,USA,40.4992707,-74.5887679,34035.0,,,,
-1044124,Justin,Martin,Wyoming,187.0,70.0,39.0,2015,PK,Oakdale,CA,USA,37.78735135,-120.81972543130206,6099.0,,,,
-1044120,Adam,Kinder,Wyoming,252.0,74.0,86.0,2015,DE,Newport Beach,CA,USA,33.6170092,-117.9294401,6059.0,,,,
